iteration,success,sy_clean_gravel,sy_clayey_sand,sy_loamy_sand,sy_sandy_gravel,sy_sandstone,sy_limestone,ss_clean_gravel,ss_clayey_sand,ss_loamy_sand,ss_sandy_gravel,ss_sandstone,ss_limestone,P1_RMSE,P1_R2,Pz12_RMSE,Pz12_R2,Overall_RMSE,Overall_R2
78,True,0.658,0.255,0.514,0.138,0.001,0.001,5.68e-07,0.000897,1.6e-07,4.02e-07,9.94e-05,6.54e-06,0.1614892426379261,0.8144870270553238,0.08835243027103204,0.6421864711711565,0.12492083645447907,0.7283367491132402
79,True,0.248,0.705,0.139,0.396,0.001,0.001,9.69e-06,1.47e-06,2.83e-07,1.23e-06,6.87e-06,1.18e-05,0.31082642554205375,0.3127370087370779,0.022399276770094265,0.9770021228765322,0.16661285115607402,0.6448695658068051
80,True,0.217,0.116,0.374,0.0903,0.001,0.001,0.000131,1.38e-07,0.000403,0.000593,2.26e-07,7.65e-06,0.13271425428438777,0.8747083201701319,0.1319429370666663,0.20201991703342048,0.13232859567552702,0.5383641186017762
81,True,0.389,0.777,0.222,0.161,0.001,0.001,6.92e-05,0.000295,4.46e-07,0.000323,4.26e-06,4.06e-06,0.18390851922448037,0.759402680272609,0.06605500314422262,0.7999994489149154,0.1249817611843515,0.7797010645937622
82,True,0.23,0.0559,0.423,0.0587,0.001,0.001,3.29e-06,1.22e-05,2.93e-06,1.08e-05,1.11e-06,0.00091,0.12780967555471587,0.8837977453842867,0.18331865600521224,-0.5403984974460896,0.15556416577996407,0.17169962396909855
83,True,0.635,0.00791,0.564,0.275,0.001,0.001,2.11e-05,2.83e-05,0.000177,9.19e-07,2.19e-05,7.92e-07,0.256084779709081,0.5334968033767891,0.05419848385043034,0.865353821247959,0.15514163177975568,0.699425312312374
84,True,0.104,0.608,0.0801,0.085,0.001,0.001,0.000115,4.48e-05,1.07e-07,1.94e-07,1.32e-07,0.000523,0.10646113997526076,0.9193750767452946,0.11881164920448382,0.35295005329278284,0.11263639458987229,0.6361625650190388
85,True,0.133,0.0284,0.714,0.175,0.001,0.001,0.000173,4.95e-06,7.78e-06,3.08e-07,6.45e-07,4.83e-05,0.19479440490247926,0.7300769039748061,0.09130751668698431,0.6178509187166632,0.14305096079473179,0.6739639113457346
86,True,0.112,0.599,0.609,0.025,0.001,0.001,3.31e-05,0.000103,3.18e-07,5.92e-05,0.000595,1.86e-07,0.13638546414846117,0.8676806795455613,0.1435017710325928,0.056081975674080575,0.13994361759052698,0.4618813276098209
87,True,0.286,0.14,0.239,0.333,0.001,0.001,0.000759,1.05e-05,2.59e-05,0.000166,0.000816,3.8e-07,0.2857372468316411,0.41920776486191136,0.04602664382429425,0.9028957197790147,0.16588194532796768,0.661051742320463
88,True,0.0348,0.197,0.839,0.0954,0.001,0.001,1.53e-05,2.54e-06,9.3e-06,1.09e-06,1.42e-05,2.77e-06,0.12705014089829317,0.8851747520755183,0.12916293676382107,0.23529209591210232,0.1281065388310571,0.5602334239938103
89,True,0.445,0.515,0.817,0.0601,0.001,0.001,3.93e-07,8.3e-05,6.2e-06,1.84e-06,1.03e-05,3.39e-06,0.09107434009081868,0.9409963122603991,0.14565905117860958,0.02748857863893872,0.11836669563471414,0.48424244544966893
90,True,0.953,0.878,0.523,0.209,0.001,0.001,4.95e-06,6.11e-06,2.09e-05,0.000193,0.000448,0.000262,0.21894003103389026,0.6590132996295982,0.04367771885373326,0.9125540592734828,0.13130887494381177,0.7857836794515405
91,True,0.961,0.0127,0.408,0.0791,0.001,0.001,1.69e-06,0.000152,1.32e-07,0.000559,9.01e-06,3.13e-06,0.13473549265838974,0.8708628732949025,0.15672747344045002,-0.12592645159029403,0.14573148304941988,0.37246821085230425
92,True,0.996,0.929,0.747,0.231,0.001,0.001,1.65e-05,8.9e-07,0.000255,0.000522,0.000115,5.59e-06,0.23614544501095452,0.6033145826061439,0.03839092908894523,0.9324419660847367,0.13726818704994986,0.7678782743454403
93,True,0.185,0.105,0.117,0.11,0.001,0.001,1.39e-07,3.89e-05,6.59e-05,0.00011,1.41e-06,6.58e-05,0.14300725769439834,0.8545200151485118,0.12251205037283663,0.31201752778071123,0.1327596540336175,0.5832687714646115
94,True,0.0671,0.364,0.274,0.219,0.001,0.001,2.13e-07,0.00098,2.72e-06,4.26e-05,0.000216,3.62e-07,0.2238712143554353,0.6434802446529821,0.0526464333756168,0.8729549740871817,0.13825882386552604,0.7582176093700819
95,True,0.903,0.76,0.624,0.286,0.001,0.001,2.08e-06,1.04e-07,0.000816,3.65e-06,1.88e-05,4.37e-07,0.26248033202584,0.5099046034221869,0.030889979083454724,0.9562623962538431,0.14668515555464734,0.733083499838015
96,True,0.473,0.209,0.753,0.121,0.001,0.001,0.000387,1.13e-07,7.16e-07,1.35e-06,0.000165,7.09e-07,0.1471037271258828,0.8460660397141322,0.0989794673170091,0.5509341996447523,0.12304159722144595,0.6985001196794423
97,True,0.317,0.767,0.645,0.245,0.001,0.001,0.00023,1.68e-07,3.21e-05,4.8e-06,4.03e-05,9.59e-06,0.23973605065953613,0.5911596202715665,0.0397150816252707,0.9277012687337521,0.13972556614240342,0.7594304445026594
98,True,0.305,0.29,0.261,0.344,0.001,0.001,2.33e-05,1.31e-07,3.31e-06,1.35e-05,0.000234,7.29e-05,0.28953226332868515,0.4036777413049921,0.03448018740616503,0.9455047069383843,0.1620062253674251,0.6745912241216883
99,True,0.552,0.562,0.84,0.127,0.001,0.001,5.99e-05,1.93e-05,1.51e-07,3.43e-06,1.66e-07,3.68e-06,0.14920202374547345,0.8416432728074361,0.08971077613679854,0.6310997197048447,0.119456399941136,0.7363714962561404
