iteration,expected_improvement,predicted_metric,predicted_std,actual_metric,is_new_best,error,parameters,P1_RMSE,P1_R2,Pz12_RMSE,Pz12_R2,Overall_RMSE,Overall_R2
30,0.023518537124305502,0.6078227024080775,0.2415031806722291,0.6778927731063482,False,,"{'sy_clean_gravel': 0.339, 'sy_clayey_sand': 0.132, 'sy_loamy_sand': 0.216, 'sy_sandy_gravel': 0.132, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.3803842646028839e-05, 'ss_clayey_sand': 1.2882495516931348e-05, 'ss_loamy_sand': 7.079457843841373e-06, 'ss_sandy_gravel': 3.548133892335753e-06, 'ss_sandstone': 8.912509381337459e-05, 'ss_limestone': 3.890451449942805e-06}",0.15862146831581506,0.8210173140396443,0.10074530188952444,0.5347682321730522,0.12968338510266975,0.6778927731063482
31,0.023458234321149636,0.6078227024080775,0.24058756339475457,0.6426866786560235,False,,"{'sy_clean_gravel': 0.297, 'sy_clayey_sand': 0.126, 'sy_loamy_sand': 0.17, 'sy_sandy_gravel': 0.121, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 3.162277660168379e-06, 'ss_clayey_sand': 1.778279410038923e-05, 'ss_loamy_sand': 2.39883291901949e-05, 'ss_sandy_gravel': 1.1481536214968817e-05, 'ss_sandstone': 5.128613839913648e-05, 'ss_limestone': 6.30957344480193e-06}",0.14966399506905145,0.8406611209413652,0.11006498357619487,0.4447122363706817,0.12986448932262318,0.6426866786560235
32,0.02338482011839526,0.6078227024080775,0.23962186417242323,0.7357601636459908,False,,"{'sy_clean_gravel': 0.212, 'sy_clayey_sand': 0.192, 'sy_loamy_sand': 0.293, 'sy_sandy_gravel': 0.181, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.3182567385564074e-05, 'ss_clayey_sand': 1.0964781961431852e-05, 'ss_loamy_sand': 2.290867652767775e-05, 'ss_sandy_gravel': 1.4125375446227555e-05, 'ss_sandstone': 4.897788193684466e-05, 'ss_limestone': 2.818382931264455e-06}",0.19736811312343389,0.722897101738566,0.07405471178454319,0.7486232255534156,0.13571141245398854,0.7357601636459908
33,0.023382402345752167,0.6078227024080775,0.2389264866644278,0.7254237044848918,False,,"{'sy_clean_gravel': 0.277, 'sy_clayey_sand': 0.179, 'sy_loamy_sand': 0.23, 'sy_sandy_gravel': 0.265, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.4125375446227555e-05, 'ss_clayey_sand': 1.4791083881682072e-05, 'ss_loamy_sand': 7.079457843841373e-06, 'ss_sandy_gravel': 2.4547089156850286e-05, 'ss_sandstone': 9.549925860214369e-05, 'ss_limestone': 5.011872336272725e-06}",0.2510011143537324,0.5518345333664307,0.04693784260594658,0.8990128756033529,0.1489694784798395,0.7254237044848918
34,0.02337149633448793,0.6078227024080775,0.2381982867928874,0.7373439481889443,False,,"{'sy_clean_gravel': 0.339, 'sy_clayey_sand': 0.23, 'sy_loamy_sand': 0.157, 'sy_sandy_gravel': 0.164, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.7378008287493764e-05, 'ss_clayey_sand': 1.0964781961431852e-05, 'ss_loamy_sand': 1.1748975549395302e-05, 'ss_sandy_gravel': 7.943282347242822e-06, 'ss_sandstone': 7.079457843841373e-05, 'ss_limestone': 1.4125375446227554e-06}",0.18395064113178086,0.7592924561392104,0.07879724769565928,0.7153954402386782,0.13137394441372008,0.7373439481889443
35,0.02337640186108405,0.6078227024080775,0.23752964163404325,0.7334439635503356,False,,"{'sy_clean_gravel': 0.276, 'sy_clayey_sand': 0.187, 'sy_loamy_sand': 0.158, 'sy_sandy_gravel': 0.249, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 9.332543007969906e-06, 'ss_clayey_sand': 1.698243652461746e-05, 'ss_loamy_sand': 4.897788193684467e-06, 'ss_sandy_gravel': 9.332543007969906e-06, 'ss_sandstone': 9.772372209558111e-05, 'ss_limestone': 6.30957344480193e-06}",0.24187130556724706,0.583844357511603,0.05051288502984876,0.8830435695890682,0.1461920952985479,0.7334439635503356
36,0.02337957985711568,0.6078227024080775,0.23685380645332166,0.7377697872965863,False,,"{'sy_clean_gravel': 0.22, 'sy_clayey_sand': 0.205, 'sy_loamy_sand': 0.154, 'sy_sandy_gravel': 0.172, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 7.76247116628691e-06, 'ss_clayey_sand': 1.698243652461746e-05, 'ss_loamy_sand': 5.4954087385762485e-06, 'ss_sandy_gravel': 1.3182567385564074e-05, 'ss_sandstone': 9.120108393559096e-05, 'ss_limestone': 1.3803842646028838e-06}",0.19052412253598097,0.7417816925861923,0.07621290241169683,0.7337578820069803,0.1333685124738389,0.7377697872965863
37,0.02339022607341419,0.6078227024080775,0.23620560913926178,0.659908999544949,False,,"{'sy_clean_gravel': 0.314, 'sy_clayey_sand': 0.108, 'sy_loamy_sand': 0.228, 'sy_sandy_gravel': 0.136, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 7.244359600749906e-06, 'ss_clayey_sand': 5.4954087385762485e-06, 'ss_loamy_sand': 8.709635899560814e-06, 'ss_sandy_gravel': 1.5135612484362071e-05, 'ss_sandstone': 1.3182567385564074e-05, 'ss_limestone': 6.025595860743581e-06}",0.1627622613537249,0.8115507037128018,0.10357493472383787,0.5082672953770961,0.1331685980387814,0.659908999544949
38,0.023341729899122227,0.6078227024080775,0.2353331448751591,0.7170065905736445,False,,"{'sy_clean_gravel': 0.209, 'sy_clayey_sand': 0.193, 'sy_loamy_sand': 0.293, 'sy_sandy_gravel': 0.284, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 6.165950018614822e-06, 'ss_clayey_sand': 1.3803842646028839e-05, 'ss_loamy_sand': 1.445439770745928e-05, 'ss_sandy_gravel': 1.9054607179632484e-05, 'ss_sandstone': 1.0964781961431852e-05, 'ss_limestone': 4.168693834703355e-06}",0.26099160834548796,0.5154482379807912,0.04214982960730137,0.9185649431664978,0.15157071897639465,0.7170065905736445
39,0.023336173030135153,0.6078227024080775,0.23462268690890797,0.6948967496822807,False,,"{'sy_clean_gravel': 0.332, 'sy_clayey_sand': 0.208, 'sy_loamy_sand': 0.273, 'sy_sandy_gravel': 0.136, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 7.079457843841373e-06, 'ss_clayey_sand': 7.76247116628691e-06, 'ss_loamy_sand': 6.025595860743581e-06, 'ss_sandy_gravel': 5.370317963702533e-06, 'ss_sandstone': 2.089296130854041e-05, 'ss_limestone': 3.0199517204020193e-06}",0.16071535661528963,0.8162607910213504,0.0964568301094783,0.5735327083432108,0.12858609336238397,0.6948967496822807
